specialty,provider_type,geographic_region,n_orgs,n_incumbents,tcc_p25,tcc_p50,tcc_p75,tcc_p90,wrvu_p25,wrvu_p50,wrvu_p75,wrvu_p90,cf_p25,cf_p50,cf_p75,cf_p90
Emergency Medicine,Chief of Surgery,South,32,44,567659,630733,693806,756879,6167,6852,7537,8222,97,109,120,131
Emergency Medicine,Chief of Surgery,West,54,41,643737,715264,786790,858316,6610,7344,8078,8813,98,110,121,132
Endocrinology,Staff Physician,National,116,1061,457662,508514,559364,610216,6019,6688,7356,8025,80,89,97,106
Endocrinology,Staff Physician,Northeast,140,1248,489698,544110,598520,652931,6019,6688,7356,8025,80,89,97,106
Endocrinology,Staff Physician,North Central,142,917,434779,483088,531396,579705,6019,6688,7356,8025,80,89,97,106
Endocrinology,Staff Physician,South,108,1438,443932,493258,542583,591909,6019,6688,7356,8025,80,89,97,106
Endocrinology,Staff Physician,West,107,202,503428,559365,615301,671237,6019,6688,7356,8025,80,89,97,106
Endocrinology,Program Director,National,32,128,540041,600046,660050,720055,3727,4141,4554,4969,92,102,111,122
Endocrinology,Program Director,Northeast,53,29,577844,642049,706253,770459,4140,4600,5059,5519,107,119,130,142
Endocrinology,Program Director,North Central,42,103,513039,570044,627047,684052,4177,4641,5104,5569,88,97,106,116
Endocrinology,Program Director,South,51,125,523840,582045,640248,698453,3851,4279,4707,5135,105,117,128,140
Endocrinology,Program Director,West,70,81,594045,660051,726055,792060,4157,4619,5080,5543,101,112,122,134
Endocrinology,Division Chief,National,51,124,585808,650898,715986,781076,4283,4760,5235,5711,103,115,126,137
Endocrinology,Division Chief,Northeast,63,73,626814,696460,766105,835752,4020,4467,4913,5360,90,100,109,120
Endocrinology,Division Chief,North Central,59,69,556517,618353,680187,742023,4712,5236,5758,6282,92,102,111,122
Endocrinology,Division Chief,South,50,193,568233,631371,694507,757644,5337,5930,6522,7116,96,107,117,128
Endocrinology,Division Chief,West,55,108,644388,715987,787585,859184,3958,4398,4838,5278,108,120,130,143
Endocrinology,Department Chair,National,53,67,640727,711919,783110,854302,5066,5629,6191,6755,95,105,115,126
Endocrinology,Department Chair,Northeast,58,129,685578,761754,837928,914104,4099,4554,5009,5465,105,116,127,139
Endocrinology,Department Chair,North Central,56,132,608691,676323,743955,811587,4786,5318,5849,6381,88,98,107,117
Endocrinology,Department Chair,South,46,129,621505,690562,759617,828673,3672,4080,4487,4896,111,124,135,147
Endocrinology,Department Chair,West,45,170,704800,783111,861421,939733,3719,4132,4545,4959,90,100,109,119
Endocrinology,Chief of Surgery,National,36,116,663610,737345,811078,884813,5092,5658,6224,6790,92,102,111,122
Endocrinology,Chief of Surgery,Northeast,53,81,710063,788959,867854,946750,4851,5391,5929,6468,92,103,112,122
Endocrinology,Chief of Surgery,North Central,35,145,630430,700478,770524,840573,5282,5869,6455,7042,99,110,120,131
Endocrinology,Chief of Surgery,South,58,64,643702,715225,786746,858269,4686,5207,5727,6248,101,112,123,134
Endocrinology,Chief of Surgery,West,65,190,729971,811079,892186,973295,4858,5398,5937,6477,91,101,111,121
Gastroenterology,Staff Physician,National,127,343,597701,664112,730523,796935,2866,3185,3503,3822,61,68,74,81
Gastroenterology,Staff Physician,Northeast,105,1318,639540,710600,781660,852720,2866,3185,3503,3822,61,68,74,81
Gastroenterology,Staff Physician,North Central,148,841,567815,630907,693997,757088,2866,3185,3503,3822,61,68,74,81
Gastroenterology,Staff Physician,South,61,981,579770,644189,708607,773026,2866,3185,3503,3822,61,68,74,81
Gastroenterology,Staff Physician,West,76,783,657471,730523,803575,876628,2866,3185,3503,3822,61,68,74,81
Gastroenterology,Program Director,National,61,75,705287,783652,862017,940383,2000,2223,2445,2667,80,89,97,106
Gastroenterology,Program Director,Northeast,61,39,754657,838508,922358,1006210,2308,2565,2822,3079,77,86,94,103
Gastroenterology,Program Director,North Central,49,40,670022,744470,818916,893364,2193,2437,2680,2924,84,94,102,112
Gastroenterology,Program Director,South,36,154,684128,760143,836157,912171,1819,2021,2223,2426,80,89,97,106
Gastroenterology,Program Director,West,66,168,775815,862018,948219,1034421,2568,2854,3138,3424,74,83,90,99
Gastroenterology,Division Chief,National,66,172,765057,850064,935069,1020076,1844,2049,2254,2459,74,83,90,99
Gastroenterology,Division Chief,Northeast,78,154,818611,909568,1000524,1091482,1926,2140,2354,2569,69,77,84,92
Gastroenterology,Division Chief,North Central,62,142,726804,807561,888316,969073,1824,2027,2229,2433,69,77,84,92
Gastroenterology,Division Chief,South,32,124,742105,824562,907017,989474,2454,2727,3000,3273,72,81,88,96
Gastroenterology,Division Chief,West,74,101,841563,935070,1028576,1122084,2484,2760,3036,3312,68,76,82,90
Gastroenterology,Department Chair,National,67,109,836781,929757,1022732,1115709,2176,2418,2659,2901,79,88,96,105
Gastroenterology,Department Chair,Northeast,39,44,895356,994840,1094324,1193808,2392,2659,2924,3190,74,82,89,98
Gastroenterology,Department Chair,North Central,67,146,794942,883269,971596,1059923,2514,2794,3073,3353,70,78,85,93
Gastroenterology,Department Chair,South,49,146,811678,901865,992050,1082237,2543,2826,3109,3392,84,93,102,111
Gastroenterology,Department Chair,West,64,133,920459,1022733,1125006,1227279,2045,2273,2500,2728,83,92,100,110
Gastroenterology,Chief of Surgery,National,52,72,866666,962963,1059258,1155555,1849,2054,2260,2465,74,82,89,98
Gastroenterology,Chief of Surgery,Northeast,79,137,927333,1030370,1133407,1236444,1878,2087,2296,2505,74,82,90,98
Gastroenterology,Chief of Surgery,North Central,42,67,823333,914815,1006295,1097778,2493,2770,3047,3324,80,89,97,106
Gastroenterology,Chief of Surgery,South,57,189,840666,934074,1027481,1120889,1963,2181,2399,2618,82,92,100,109
Gastroenterology,Chief of Surgery,West,37,152,953333,1059259,1165184,1271111,2453,2726,2999,3272,70,78,85,94
Genetics,Staff Physician,National,101,331,188524,209472,230418,251366,8313,9237,10160,11084,60,67,73,80
Genetics,Staff Physician,Northeast,131,450,201721,224135,246548,268961,8313,9237,10160,11084,60,67,73,80
Genetics,Staff Physician,North Central,135,1387,179098,198998,218897,238797,8313,9237,10160,11084,60,67,73,80
Genetics,Staff Physician,South,125,642,182868,203187,223506,243825,8313,9237,10160,11084,60,67,73,80
Genetics,Staff Physician,West,123,572,207377,230419,253460,276502,8313,9237,10160,11084,60,67,73,80
Genetics,Program Director,National,68,28,222459,247177,271894,296612,7088,7875,8662,9450,69,78,85,93
Genetics,Program Director,Northeast,73,70,238031,264479,290926,317374,6738,7487,8235,8984,77,86,94,103
Genetics,Program Director,North Central,36,69,211336,234818,258299,281781,6096,6774,7451,8129,82,92,100,110
Genetics,Program Director,South,50,162,215785,239761,263737,287713,5682,6314,6945,7577,67,75,81,89
Genetics,Program Director,West,50,186,244704,271894,299083,326273,5972,6636,7299,7963,67,75,82,89
Genetics,Division Chief,National,37,137,241311,268124,294935,321748,5750,6390,7028,7667,82,91,100,109
Genetics,Division Chief,Northeast,40,147,258203,286893,315581,344271,6627,7364,8100,8837,78,87,95,104
Genetics,Division Chief,North Central,43,39,229245,254718,280189,305661,5927,6586,7244,7903,70,78,85,93
Genetics,Division Chief,South,67,98,234072,260080,286087,312096,7128,7920,8712,9504,71,79,86,95
Genetics,Division Chief,West,75,128,265442,294936,324429,353923,6123,6804,7484,8164,79,88,96,105
Genetics,Department Chair,National,54,71,263934,293261,322586,351912,7156,7952,8746,9542,82,92,100,110
Genetics,Department Chair,Northeast,68,61,282409,313789,345167,376546,5245,5828,6411,6994,72,80,87,96
Genetics,Department Chair,North Central,40,82,250737,278597,306456,334317,6717,7463,8209,8956,72,81,88,96
Genetics,Department Chair,South,69,111,256016,284463,312908,341355,5343,5937,6530,7124,79,89,96,106
Genetics,Department Chair,West,60,60,290327,322587,354844,387103,6203,6893,7582,8271,77,87,94,103
Genetics,Chief of Surgery,National,30,35,273360,303734,334107,364480,5118,5686,6255,6824,74,83,90,99
Genetics,Chief of Surgery,Northeast,32,156,292495,324996,357494,389994,7213,8015,8815,9617,78,88,96,105
Genetics,Chief of Surgery,North Central,55,20,259692,288547,317401,346256,7102,7891,8680,9469,66,74,80,88
Genetics,Chief of Surgery,South,42,99,265159,294622,324083,353546,6541,7268,7994,8721,83,93,101,111
Genetics,Chief of Surgery,West,35,162,300696,334108,367517,400929,5760,6400,7040,7680,68,76,83,91
Hematology/Oncology,Staff Physician,National,146,1119,246862,274291,301720,329149,10251,11391,12530,13669,72,80,88,96
Hematology/Oncology,Staff Physician,Northeast,86,1245,264142,293492,322840,352189,10251,11391,12530,13669,72,80,88,96
Hematology/Oncology,Staff Physician,North Central,71,1364,234519,260577,286634,312691,10251,11391,12530,13669,72,80,88,96
Hematology/Oncology,Staff Physician,South,148,811,239456,266062,292668,319274,10251,11391,12530,13669,72,80,88,96
Hematology/Oncology,Staff Physician,West,71,555,271548,301720,331892,362064,10251,11391,12530,13669,72,80,88,96
Hematology/Oncology,Program Director,National,45,162,291297,323664,356029,388396,8415,9351,10286,11221,94,105,115,126
Hematology/Oncology,Program Director,Northeast,38,156,311688,346320,380951,415583,8025,8917,9809,10701,88,97,107,117
Hematology/Oncology,Program Director,North Central,33,182,276732,307480,338228,368976,8663,9626,10589,11551,93,103,114,124
Hematology/Oncology,Program Director,South,56,54,282558,313954,345348,376744,7262,8070,8877,9683,92,102,112,123
Hematology/Oncology,Program Director,West,34,65,320427,356030,391632,427235,6544,7272,7999,8727,79,88,97,106
Hematology/Oncology,Division Chief,National,67,25,315983,351093,386201,421311,7611,8458,9304,10149,80,89,98,107
Hematology/Oncology,Division Chief,Northeast,38,64,338102,375669,413235,450802,8526,9474,10421,11369,95,106,116,127
Hematology/Oncology,Division Chief,North Central,39,195,300184,333538,366891,400245,7143,7938,8731,9525,81,90,99,108
Hematology/Oncology,Division Chief,South,57,87,306504,340560,374615,408671,7246,8052,8857,9662,93,104,114,125
Hematology/Oncology,Division Chief,West,51,27,347582,386202,424821,463442,8288,9209,10130,11051,98,109,120,131
Hematology/Oncology,Department Chair,National,33,84,345607,384008,422407,460809,7837,8709,9580,10450,97,108,119,129
Hematology/Oncology,Department Chair,Northeast,50,196,369799,410888,451976,493065,8813,9793,10773,11752,81,90,99,109
Hematology/Oncology,Department Chair,North Central,40,125,328326,364807,401287,437768,6365,7073,7780,8488,91,101,111,121
Hematology/Oncology,Department Chair,South,68,58,335238,372487,409735,446984,7003,7782,8560,9338,99,110,121,132
Hematology/Oncology,Department Chair,West,65,35,380167,422409,464648,506889,7572,8414,9255,10097,83,92,101,111
Hematology/Oncology,Chief of Surgery,National,52,152,357950,397722,437494,477266,6392,7103,7813,8524,86,95,105,115
Hematology/Oncology,Chief of Surgery,Northeast,70,170,383006,425563,468118,510675,9043,10049,11054,12058,95,105,116,127
Hematology/Oncology,Chief of Surgery,North Central,38,81,340052,377836,415619,453403,8005,8895,9785,10675,98,109,120,131
Hematology/Oncology,Chief of Surgery,South,54,105,347211,385791,424369,462948,8308,9232,10155,11079,89,99,109,118
Hematology/Oncology,Chief of Surgery,West,37,95,393745,437495,481243,524993,7240,8045,8850,9654,95,105,116,126
Hospitalist,Staff Physician,National,61,152,193426,214919,236411,257903,7189,7988,8786,9585,60,67,73,80
Hospitalist,Staff Physician,Northeast,111,1016,206966,229963,252960,275956,7189,7988,8786,9585,60,67,73,80
Hospitalist,Staff Physician,North Central,98,1499,183755,204173,224590,245007,7189,7988,8786,9585,60,67,73,80
Hospitalist,Staff Physician,South,118,1332,187623,208471,229318,250166,7189,7988,8786,9585,60,67,73,80
Hospitalist,Staff Physician,West,84,654,212769,236411,260052,283693,7189,7988,8786,9585,60,67,73,80
Hospitalist,Program Director,National,52,175,228243,253604,278965,304325,5065,5628,6191,6754,73,81,88,97
Hospitalist,Program Director,Northeast,58,140,244220,271357,298492,325628,4539,5043,5547,6051,73,82,89,98
Hospitalist,Program Director,North Central,50,177,216831,240924,265017,289109,4526,5029,5532,6035,71,79,86,94
Hospitalist,Program Director,South,31,80,221396,245996,270596,295195,5166,5741,6314,6889,74,82,90,99
Hospitalist,Program Director,West,67,184,251067,278965,306861,334758,5704,6338,6972,7606,75,84,91,100
Hospitalist,Division Chief,National,63,106,247586,275096,302606,330116,5796,6440,7083,7727,67,75,82,90
Hospitalist,Division Chief,Northeast,58,81,264917,294353,323788,353224,4605,5117,5628,6140,80,90,98,107
Hospitalist,Division Chief,North Central,71,79,235206,261342,287476,313610,5991,6657,7322,7988,76,85,93,102
Hospitalist,Division Chief,South,39,106,240158,266843,293528,320212,5548,6164,6780,7397,82,92,100,109
Hospitalist,Division Chief,West,32,188,272344,302606,332867,363127,6041,6713,7383,8055,82,91,100,109
Hospitalist,Department Chair,National,55,96,270797,300887,330975,361064,6463,7181,7899,8617,72,80,87,96
Hospitalist,Department Chair,Northeast,45,134,289753,321949,354144,386338,5543,6159,6774,7391,81,91,99,108
Hospitalist,Department Chair,North Central,32,197,257257,285842,314427,343011,4809,5344,5878,6412,80,90,98,107
Hospitalist,Department Chair,South,60,159,262673,291860,321046,350232,4496,4996,5495,5995,72,80,87,96
Hospitalist,Department Chair,West,41,85,297877,330975,364073,397170,5081,5646,6210,6775,74,83,90,99
Hospitalist,Chief of Surgery,National,58,57,280468,311633,342796,373959,4465,4962,5457,5954,73,81,89,97
Hospitalist,Chief of Surgery,Northeast,61,169,300101,333447,366792,400136,4444,4938,5431,5925,68,76,83,91
Hospitalist,Chief of Surgery,North Central,37,98,266445,296051,325656,355261,5601,6223,6845,7468,71,80,87,95
Hospitalist,Chief of Surgery,South,72,42,272054,302284,332512,362740,6400,7111,7822,8533,82,92,100,110
Hospitalist,Chief of Surgery,West,76,140,308515,342796,377076,411355,4765,5295,5824,6354,77,86,94,103
Infectious Disease,Staff Physician,National,120,362,587436,652707,717978,783249,5045,5606,6166,6727,60,67,73,80
Infectious Disease,Staff Physician,Northeast,85,1265,628556,698397,768237,838076,5045,5606,6166,6727,60,67,73,80
Infectious Disease,Staff Physician,North Central,88,1399,558064,620072,682079,744086,5045,5606,6166,6727,60,67,73,80
Infectious Disease,Staff Physician,South,90,641,569813,633126,696439,759751,5045,5606,6166,6727,60,67,73,80
Infectious Disease,Staff Physician,West,131,1357,646179,717978,789776,861574,5045,5606,6166,6727,60,67,73,80
Infectious Disease,Program Director,National,44,79,693174,770195,847214,924234,3670,4078,4485,4893,81,91,99,109
Infectious Disease,Program Director,Northeast,60,35,741697,824109,906519,988930,4081,4535,4988,5441,78,87,95,104
Infectious Disease,Program Director,North Central,61,32,658516,731685,804854,878022,3380,3756,4131,4507,68,76,83,91
Infectious Disease,Program Director,South,52,163,672379,747089,821798,896507,4012,4458,4903,5349,80,89,97,106
Infectious Disease,Program Director,West,40,155,762492,847214,931936,1016657,3257,3619,3981,4343,80,90,98,107
Infectious Disease,Division Chief,National,77,33,751918,835466,919012,1002559,3380,3756,4132,4508,74,83,90,99
Infectious Disease,Division Chief,Northeast,58,23,804552,893948,983343,1072738,3183,3537,3890,4244,75,83,91,100
Infectious Disease,Division Chief,North Central,51,156,714322,793692,873062,952431,4307,4786,5264,5744,82,92,100,110
Infectious Disease,Division Chief,South,57,30,729360,810402,891442,972482,4197,4664,5130,5597,77,86,94,103
Infectious Disease,Division Chief,West,66,152,827110,919012,1010913,1102815,3863,4293,4722,5151,71,79,86,95
Infectious Disease,Department Chair,National,42,106,822410,913791,1005170,1096549,4281,4757,5232,5708,81,91,99,108
Infectious Disease,Department Chair,Northeast,40,163,879979,977756,1075532,1173307,4450,4945,5439,5934,79,89,96,106
Infectious Disease,Department Chair,North Central,45,158,781290,868101,954911,1041721,4244,4715,5187,5658,83,93,101,111
Infectious Disease,Department Chair,South,65,130,797738,886377,975015,1063652,4180,4644,5108,5573,72,81,88,97
Infectious Disease,Department Chair,West,63,126,904651,1005170,1105687,1206203,3465,3851,4235,4621,74,83,91,99
Infectious Disease,Chief of Surgery,National,40,159,851782,946426,1041069,1135711,3225,3584,3942,4301,81,91,99,109
Infectious Disease,Chief of Surgery,Northeast,44,20,911407,1012676,1113943,1215211,4396,4885,5373,5862,79,88,96,105
Infectious Disease,Chief of Surgery,North Central,39,151,809193,899105,989015,1078925,3386,3762,4138,4515,72,81,88,97
Infectious Disease,Chief of Surgery,South,37,38,826229,918033,1009836,1101640,3323,3693,4061,4431,82,92,100,110
Infectious Disease,Chief of Surgery,West,70,104,936960,1041069,1145175,1249282,4326,4807,5287,5768,71,80,87,95
Internal Medicine,Staff Physician,National,87,1318,488401,542668,596935,651202,3688,4098,4507,4917,47,53,58,63
Internal Medicine,Staff Physician,Northeast,87,174,522589,580655,638720,696786,3688,4098,4507,4917,47,53,58,63
Internal Medicine,Staff Physician,North Central,77,1254,463981,515535,567088,618642,3688,4098,4507,4917,47,53,58,63
Internal Medicine,Staff Physician,South,133,1092,473749,526388,579027,631666,3688,4098,4507,4917,47,53,58,63
Internal Medicine,Staff Physician,West,133,103,537241,596935,656628,716322,3688,4098,4507,4917,47,53,58,63
Internal Medicine,Program Director,National,35,26,576313,640348,704383,768418,2819,3133,3445,3759,62,70,77,84
Internal Medicine,Program Director,Northeast,45,98,616655,685173,753690,822207,2344,2604,2864,3125,54,61,67,73
Internal Medicine,Program Director,North Central,53,48,547498,608331,669164,729997,2555,2839,3122,3406,57,64,70,76
Internal Medicine,Program Director,South,45,150,559024,621138,683252,745366,2218,2465,2711,2958,65,73,80,87
Internal Medicine,Program Director,West,79,69,633945,704383,774822,845260,2572,2857,3143,3429,53,60,65,71
Internal Medicine,Division Chief,National,75,170,625154,694615,764077,833538,2300,2556,2811,3067,62,70,77,84
Internal Medicine,Division Chief,Northeast,55,193,668914,743238,817562,891886,3226,3584,3942,4301,51,58,64,69
Internal Medicine,Division Chief,North Central,71,192,593896,659884,725873,791861,2616,2906,3197,3487,54,61,66,72
Internal Medicine,Division Chief,South,30,71,606399,673777,741154,808532,2729,3032,3335,3638,52,59,65,70
Internal Medicine,Division Chief,West,75,81,687669,764077,840484,916892,3307,3675,4042,4409,65,73,80,87
Internal Medicine,Department Chair,National,55,195,683762,759735,835709,911683,2952,3281,3608,3936,62,70,77,83
Internal Medicine,Department Chair,Northeast,51,150,731625,812917,894209,975500,3194,3549,3903,4258,59,66,72,79
Internal Medicine,Department Chair,North Central,73,165,649574,721749,793924,866098,2618,2909,3199,3490,57,64,70,76
Internal Medicine,Department Chair,South,70,129,663249,736943,810638,884332,2314,2571,2827,3085,62,71,77,84
Internal Medicine,Department Chair,West,59,156,752138,835709,919280,1002851,2756,3062,3368,3675,51,58,63,69
Internal Medicine,Chief of Surgery,National,59,101,708182,786869,865556,944243,2574,2860,3145,3432,64,72,79,86
Internal Medicine,Chief of Surgery,Northeast,60,76,757755,841950,926145,1010340,3259,3622,3983,4346,63,71,78,85
Internal Medicine,Chief of Surgery,North Central,41,125,672773,747525,822278,897031,3170,3522,3874,4226,52,59,65,70
Internal Medicine,Chief of Surgery,South,51,175,686936,763263,839589,915915,2220,2467,2713,2960,59,67,73,80
Internal Medicine,Chief of Surgery,West,75,165,779000,865556,952111,1038667,2849,3166,3482,3799,58,66,72,78
Neonatal Medicine,Staff Physician,National,120,558,349432,388259,427084,465910,2070,2301,2531,2761,82,92,101,110
Neonatal Medicine,Staff Physician,Northeast,131,1192,373893,415437,456980,498524,2070,2301,2531,2761,82,92,101,110
Neonatal Medicine,Staff Physician,North Central,81,583,331961,368846,405730,442614,2070,2301,2531,2761,82,92,101,110
Neonatal Medicine,Staff Physician,South,126,313,338949,376611,414272,451933,2070,2301,2531,2761,82,92,101,110
Neonatal Medicine,Staff Physician,West,107,733,384376,427085,469793,512501,2070,2301,2531,2761,82,92,101,110
Neonatal Medicine,Program Director,National,76,71,412330,458145,503960,549774,1615,1795,1975,2154,111,125,137,149
Neonatal Medicine,Program Director,Northeast,71,67,441193,490216,539237,588258,1290,1434,1577,1720,91,102,112,122
Neonatal Medicine,Program Director,North Central,58,37,391714,435238,478762,522285,1551,1724,1896,2069,99,111,122,133
Neonatal Medicine,Program Director,South,66,145,399960,444401,488841,533281,1488,1655,1820,1985,95,107,117,127
Neonatal Medicine,Program Director,West,52,143,453563,503960,554356,604751,1677,1864,2051,2237,110,123,135,147
Neonatal Medicine,Division Chief,National,45,80,447273,496971,546668,596365,1480,1645,1810,1974,106,119,131,142
Neonatal Medicine,Division Chief,Northeast,41,63,478583,531759,584935,638110,1591,1769,1946,2122,111,125,137,149
Neonatal Medicine,Division Chief,North Central,34,129,424910,472123,519335,566547,1832,2037,2241,2444,108,121,133,145
Neonatal Medicine,Division Chief,South,65,82,433855,482062,530268,578474,1473,1637,1801,1965,110,123,135,147
Neonatal Medicine,Division Chief,West,74,146,492001,546669,601335,656001,1406,1563,1719,1876,114,128,140,153
Neonatal Medicine,Department Chair,National,43,124,489205,543563,597918,652274,1544,1716,1888,2060,95,106,117,127
Neonatal Medicine,Department Chair,Northeast,66,84,523450,581612,639773,697933,1852,2059,2265,2471,98,110,121,132
Neonatal Medicine,Department Chair,North Central,49,87,464745,516384,568022,619660,1355,1506,1656,1807,96,108,119,130
Neonatal Medicine,Department Chair,South,46,55,474529,527256,579981,632706,1332,1480,1628,1776,109,122,134,146
Neonatal Medicine,Department Chair,West,73,152,538126,597919,657710,717502,1820,2023,2225,2428,100,113,124,135
Neonatal Medicine,Chief of Surgery,National,43,99,506677,562975,619273,675570,1430,1590,1749,1908,104,117,128,140
Neonatal Medicine,Chief of Surgery,Northeast,35,108,542144,602384,662622,722859,1791,1991,2190,2389,106,119,131,143
Neonatal Medicine,Chief of Surgery,North Central,47,157,481343,534827,588309,641791,1714,1905,2096,2286,92,103,114,124
Neonatal Medicine,Chief of Surgery,South,62,30,491477,546086,600694,655302,1745,1940,2134,2328,110,124,136,148
Neonatal Medicine,Chief of Surgery,West,45,37,557345,619273,681200,743127,1428,1587,1746,1904,111,124,137,149
Nephrology,Staff Physician,National,69,116,241123,267915,294706,321498,2446,2718,2989,3261,61,68,74,81
Nephrology,Staff Physician,Northeast,104,435,258001,286669,315335,344002,2446,2718,2989,3261,61,68,74,81
Nephrology,Staff Physician,North Central,107,1093,229067,254519,279970,305423,2446,2718,2989,3261,61,68,74,81
Nephrology,Staff Physician,South,137,257,233889,259877,285864,311853,2446,2718,2989,3261,61,68,74,81
Nephrology,Staff Physician,West,80,1201,265235,294706,324176,353647,2446,2718,2989,3261,61,68,74,81
Nephrology,Program Director,National,79,191,284525,316139,347753,379367,2035,2262,2487,2714,71,79,86,95
Nephrology,Program Director,Northeast,50,178,304442,338269,372095,405923,1871,2079,2286,2494,69,77,83,91
Nephrology,Program Director,North Central,78,172,270299,300332,330365,360399,1497,1664,1830,1997,71,79,86,94
Nephrology,Program Director,South,41,113,275989,306655,337320,367986,1471,1634,1797,1961,67,75,81,89
Nephrology,Program Director,West,61,23,312978,347753,382528,417304,2132,2369,2605,2842,75,84,91,100
Nephrology,Division Chief,National,35,88,308637,342931,377223,411517,1689,1877,2064,2252,71,80,87,95
Nephrology,Division Chief,Northeast,55,106,330242,366936,403629,440323,2180,2422,2663,2906,76,85,93,102
Nephrology,Division Chief,North Central,67,166,293205,325784,358362,390941,2146,2385,2623,2861,69,77,84,92
Nephrology,Division Chief,South,76,180,299378,332643,365907,399171,1789,1989,2187,2386,72,81,88,96
Nephrology,Division Chief,West,68,33,339501,377224,414946,452669,1600,1778,1956,2134,72,80,87,95
Nephrology,Department Chair,National,77,95,337572,375081,412588,450097,1918,2132,2344,2558,72,80,87,95
Nephrology,Department Chair,Northeast,49,116,361202,401336,441469,481604,1601,1779,1957,2135,69,76,83,91
Nephrology,Department Chair,North Central,70,138,320693,356327,391959,427592,1788,1987,2185,2384,67,75,82,89
Nephrology,Department Chair,South,38,122,327445,363828,400210,436594,1791,1991,2189,2389,72,80,87,95
Nephrology,Department Chair,West,35,192,371329,412589,453847,495106,1809,2010,2210,2411,82,91,99,109
Nephrology,Chief of Surgery,National,63,87,349628,388477,427323,466172,1692,1880,2068,2256,68,75,82,90
Nephrology,Chief of Surgery,Northeast,37,60,374102,415670,457236,498804,2140,2378,2616,2854,73,81,88,97
Nephrology,Chief of Surgery,North Central,63,92,332147,369053,405957,442863,2022,2247,2471,2696,78,86,94,103
Nephrology,Chief of Surgery,South,77,32,339139,376822,414504,452187,1475,1639,1803,1967,71,80,87,95
Nephrology,Chief of Surgery,West,33,93,384591,427324,470056,512789,2151,2390,2628,2868,76,85,93,102
Neurology,Staff Physician,National,62,1452,300542,333937,367330,400724,1860,2067,2273,2480,61,68,74,81
Neurology,Staff Physician,Northeast,130,1289,321580,357312,393043,428774,1860,2067,2273,2480,61,68,74,81
Neurology,Staff Physician,North Central,69,1180,285515,317240,348964,380688,1860,2067,2273,2480,61,68,74,81
Neurology,Staff Physician,South,114,342,291526,323919,356310,388702,1860,2067,2273,2480,61,68,74,81
Neurology,Staff Physician,West,74,1490,330597,367331,404063,440796,1860,2067,2273,2480,61,68,74,81
Neurology,Program Director,National,50,190,354640,394046,433450,472854,1463,1626,1788,1951,83,93,101,111
Neurology,Program Director,Northeast,59,122,379465,421629,463791,505954,1221,1357,1493,1629,70,78,85,93
Neurology,Program Director,North Central,55,33,336908,374343,411777,449211,1533,1704,1874,2044,70,78,85,93
Neurology,Program Director,South,76,75,344001,382224,420446,458668,1329,1477,1625,1773,74,83,90,99
Neurology,Program Director,West,79,58,390104,433450,476795,520140,1482,1647,1811,1976,70,78,85,93
Neurology,Division Chief,National,55,155,384694,427439,470183,512927,1294,1438,1582,1726,82,92,100,110
Neurology,Division Chief,Northeast,76,168,411623,457360,503096,548831,1137,1263,1389,1516,76,85,93,102
Neurology,Division Chief,North Central,50,40,365460,406067,446674,487280,1526,1696,1865,2035,69,77,84,92
Neurology,Division Chief,South,54,33,373154,414616,456077,497539,1379,1532,1685,1839,70,79,86,94
Neurology,Division Chief,West,35,157,423164,470183,517201,564219,1135,1261,1387,1513,71,79,86,95
Neurology,Department Chair,National,71,38,420760,467512,514263,561013,1430,1589,1748,1907,77,85,93,102
Neurology,Department Chair,Northeast,76,78,450213,500238,550261,600284,1469,1632,1795,1958,77,86,93,102
Neurology,Department Chair,North Central,66,125,399722,444136,488549,532963,1382,1536,1689,1843,75,84,91,100
Neurology,Department Chair,South,33,42,408137,453486,498835,544183,1203,1337,1470,1604,75,84,91,100
Neurology,Department Chair,West,48,135,462836,514263,565689,617115,1598,1775,1952,2130,68,76,83,91
Neurology,Chief of Surgery,National,71,104,435787,484209,532629,581050,1131,1256,1382,1508,77,86,93,102
Neurology,Chief of Surgery,Northeast,71,53,466292,518103,569913,621723,1128,1253,1378,1504,80,89,97,106
Neurology,Chief of Surgery,North Central,54,185,413997,459998,505998,551997,1283,1426,1568,1711,81,90,98,108
Neurology,Chief of Surgery,South,62,30,422713,469682,516650,563618,1576,1751,1926,2101,75,83,91,100
Neurology,Chief of Surgery,West,60,72,479366,532630,585892,639155,1169,1299,1428,1558,73,81,89,97
Surgery (Neurological),Staff Physician,National,84,709,491433,546037,600640,655244,5494,6105,6715,7326,79,88,96,105
Surgery (Neurological),Staff Physician,Northeast,127,537,525833,584259,642685,701111,5494,6105,6715,7326,79,88,96,105
Surgery (Neurological),Staff Physician,North Central,64,1102,466861,518735,570608,622482,5494,6105,6715,7326,79,88,96,105
Surgery (Neurological),Staff Physician,South,79,1386,476690,529656,582621,635587,5494,6105,6715,7326,79,88,96,105
Surgery (Neurological),Staff Physician,West,79,609,540576,600640,660704,720768,5494,6105,6715,7326,79,88,96,105
Surgery (Neurological),Program Director,National,43,181,579891,644323,708755,773188,4841,5379,5917,6455,102,114,124,136
Surgery (Neurological),Program Director,Northeast,59,35,620483,689426,758368,827311,3769,4188,4606,5025,92,102,112,122
Surgery (Neurological),Program Director,North Central,78,83,550896,612107,673317,734529,4157,4619,5080,5543,106,118,128,140
